,User_Name,Name,Description (Status),Tweets Posted,Location,No of Followers,Device Used for Tweet,Date of Tweet Creation,No of Friends
76,ficci_india,FICCI,"Federation of Indian Chambers of Commerce & Industry. The largest, oldest & the apex business chamber of India. http://t.co/dH8aWwa4","RT @CNBCTV18News: FM meets India Inc | Capital expenditure spent rightly would result in a multiplier effect, @ficci_india President &amp; CMD…","New Delhi, INDIA",186699,Twitter Web App,2022-02-07 06:47:30+00:00,591
77,stpiguwahati,STPI GUWAHATI,"STPI GUWAHATI is a Jurisdictional Directorate of Software Technology Parks of India, MeitY, Govt.of India. RTs are not endorsements.","RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…","Near LGBI Airport, Borjhar, Gu",1427,Twitter for Android,2022-02-07 06:47:01+00:00,76
78,ficci_india,FICCI,"Federation of Indian Chambers of Commerce & Industry. The largest, oldest & the apex business chamber of India. http://t.co/dH8aWwa4",RT @ET_Infra: FM calls upon India Inc to ‘not miss the bus’ as it did after global financial crisis https://t.co/72R0rniRPW via @ET_Infra @…,"New Delhi, INDIA",186699,Twitter Web App,2022-02-07 06:46:52+00:00,591
79,suresh_batha,Suresh Batha,Additional Director & Officer in Charge | STPI Gandhinagar | Ministry of Electronics & Information Technology | Government of India.,RT @arvindtw: The government allocating Rs. 283.5 crore for the #StartupIndia Seed Fund Scheme in the #Budget2022 is a commendable step tow…,"Gandhinagar, India",262,Twitter for iPhone,2022-02-07 06:46:37+00:00,96
80,castudycafe,CAStudycafe,One-Stop Solution For CA CS CWA Direct Indirect Tax GST Business News! Watch our videos: https://t.co/qks03hgu84,ATF Inclusion in GST for Discussion on table in Next GST Council Meet Says Finance Minister https://t.co/MU9j0VJExp… https://t.co/SXgHMCSyqr,"New Delhi, India",2941,dlvr.it,2022-02-07 06:46:33+00:00,250
81,DrINCsupporter,DrKalyani@DrINCSupporter🤚,"Proud Indian, Humanity, Love, peace..non violence ..Tweets and RT's are not endorsement, abuser will be blocked.Jai Congress 🙏 @MhaCongressTask
@UWCforYouth","RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes",,4186,Twitter for Android,2022-02-07 06:46:32+00:00,4449
82,urstrulyraja999,Raja Gunnam,Accept the Reality...,"RT @KTRTRS: Hon’ble Sri @narendramodi Ji, 

As NDA Govt is set to present
#Budget2022 I would like to remind you of some promises that you…","Rajahmundry, India",34,VMS_Ahex,2022-02-07 06:46:26+00:00,67
83,dicot_tech,Dicot Innovations Pvt. Ltd.,"Redefining Industry, redefining SCADA

We retweet tweets with #startup #iot #dicot","RT @cropalytics: ""The government’s recent revision in #geospatial data guidelines and the Budget announcement on use of #kisandrones for #c…","Ahmedabad, Gujarat, India",523,DICOT Retweet Bot,2022-02-07 06:46:26+00:00,21
84,RetweetsPune,Pune News & Retweets,"Pune Retweets from in & around Pune
Use #Pune for RT's
Tweets & RT's are automated & we take no responsibility & are no endorsements
DM for collab & more","RT @cropalytics: ""The government’s recent revision in #geospatial data guidelines and the Budget announcement on use of #kisandrones for #c…","Pune, Maharashtra, India",5411,RTPune,2022-02-07 06:46:20+00:00,28
85,nancysinghSing2,nancy singh Singh,"Crush and idol #carryminati 
I love chocolates💝
Blow candles on 10 december",RT @drankitgupta37: The #Budget has laid the foundation and a roadmap for the economy over the next 25 years. The Park Group of Hospitals i…,,0,Twitter for Android,2022-02-07 06:45:20+00:00,5
86,KanpurNpc,NPC-KANPUR,,"RT @beeindiadigital: ..""It will facilitate capacity building and awareness for energy audits for performance contracts and common measureme…",,119,Twitter Web App,2022-02-07 06:44:37+00:00,113
87,hiren7172,Hiren Shah,,"RT @CNBCTV18News: FM meets India Inc | Capital expenditure spent rightly would result in a multiplier effect, @ficci_india President &amp; CMD…",,24,Twitter for iPhone,2022-02-07 06:44:15+00:00,170
88,GhoshSantanu3,Santanu Ghosh,,"RT @CNBCTV18News: FM meets India Inc | Capital expenditure spent rightly would result in a multiplier effect, @ficci_india President &amp; CMD…","New Delhi, India",85,Twitter for iPhone,2022-02-07 06:43:23+00:00,246
89,Mohammad163016,@Mohammad163016,,RT @cdrishabh: We couldn't agree more after hearing the #Budget2022 and #Crypto acceptability as a #digitalasset https://t.co/v0RehL1qSl,@Mohammad163016,11,Twitter for Android,2022-02-07 06:43:22+00:00,1310
